1,1,1,1,1 - abacus - 000 - 04,24,14,30,12,11,19,29,13,09,28,16,36,02,23,27,21,31,37,05,20,08,35,03,06,38,39,01,17,33,25,18,40,22,32,10,15,34,07,26 - F,3,I,.,/,Z,M,U,Q,8,5,N,0,G,6,H,2,T,O,4,K,9,W,#,B,C,L,A,Y,J,E,S,P,X,7,R,D,@,V,1
1,1,1,1,2 - abdomen - 001 - 14,18,16,39,07,25,17,35,31,12,33,30,01,13,32,06,36,24,10,11,08,22,26,40,20,03,02,37,28,04,27,38,23,29,05,21,34,09,15,19 - Q,A,8,E,/,.,4,5,F,2,K,Y,H,L,R,I,U,@,S,P,#,6,W,O,X,D,G,3,Z,9,V,J,B,T,1,M,7,N,C,0
1,1,1,1,3 - abdominal - 002 - 04,20,17,33,18,07,36,05,15,37,25,39,12,28,11,16,01,30,34,08,19,10,06,21,13,24,22,02,14,40,29,35,23,38,32,03,27,26,31,09 - Z,F,S,J,I,M,B,O,D,V,A,6,0,4,G,/,#,Y,Q,N,X,7,E,1,5,@,L,8,2,R,C,W,H,P,K,T,3,U,.,9
1,1,1,1,4 - abide - 003 - 13,02,40,32,01,33,12,21,04,39,27,08,36,09,29,35,16,14,34,25,23,11,20,26,07,15,19,22,10,24,28,17,31,05,03,30,06,18,37,38 - N,O,/,6,8,D,T,I,Q,H,U,W,2,0,P,A,Z,J,K,G,S,9,4,M,C,@,5,X,7,V,R,1,B,E,L,.,Y,#,3,F
1,1,1,1,5 - abiding - 004 - 19,24,18,23,17,26,06,03,15,30,10,05,37,14,33,08,20,22,32,36,29,16,25,38,09,01,40,11,02,35,13,07,12,27,21,39,31,28,04,34 - .,V,L,F,#,M,Z,Y,4,G,A,3,9,0,Q,/,O,T,E,D,@,K,U,W,C,5,1,6,I,X,N,R,B,7,8,2,P,J,S,H
1,1,1,1,6 - ability - 005 - 15,30,01,11,20,27,40,35,26,08,39,04,17,10,07,21,12,32,22,14,16,24,31,34,28,23,02,38,33,37,25,19,29,18,36,06,09,05,03,13 - S,B,T,E,/,D,1,8,@,O,H,.,U,X,A,4,F,J,2,Y,L,N,#,7,V,G,K,Z,C,5,W,P,R,9,0,3,I,Q,6,M
1,1,1,2,1 - ablaze - 006 - 26,04,02,01,09,17,38,30,21,34,20,36,14,31,11,12,16,24,37,32,19,39,08,35,07,05,03,15,33,27,23,40,06,29,28,13,10,22,25,18 - K,4,M,J,.,Q,1,V,L,U,7,B,N,@,T,P,Y,S,6,F,G,D,5,E,I,C,2,3,Z,0,O,X,W,A,H,8,#,9,R,/
1,1,1,2,2 - able - 007 - 21,20,23,05,12,15,09,13,36,22,16,06,02,26,07,04,01,31,11,37,28,35,39,27,32,34,03,18,25,40,24,29,38,19,17,30,10,33,08,14 - 0,Y,6,T,8,U,R,2,3,L,Z,/,K,.,A,V,C,X,M,J,O,B,W,H,@,7,#,S,F,I,Q,4,N,1,5,E,P,D,G,9
1,1,1,2,3 - abnormal - 008 - 23,14,09,12,15,03,35,17,31,19,27,02,07,10,30,11,36,21,40,32,05,25,34,29,18,37,26,06,08,16,39,38,04,33,22,20,24,28,01,13 - W,O,0,F,X,M,C,5,J,I,@,D,3,9,/,2,8,1,K,#,Y,N,V,.,Q,B,L,T,6,P,U,4,A,R,E,G,S,H,Z,7
1,1,1,2,4 - abrasion - 009 - 32,08,37,14,17,29,28,15,09,34,31,25,11,40,21,30,22,16,38,26,23,02,24,36,01,05,18,35,10,13,33,19,04,12,20,27,03,06,07,39 - O,V,D,/,@,H,L,E,X,Q,A,P,Z,1,2,M,6,G,S,F,#,8,J,T,N,7,B,W,4,5,I,K,R,U,0,.,9,Y,3,C
1,1,1,2,5 - abrasive - 00A - 25,40,20,08,10,31,11,06,29,17,37,05,24,33,12,26,18,16,13,30,38,22,39,28,19,14,27,03,09,01,04,07,35,32,34,23,21,36,02,15 - 8,.,S,1,O,J,7,L,V,H,C,F,4,G,P,2,6,B,@,K,T,9,/,Z,N,#,W,5,D,0,I,A,X,U,R,Q,E,Y,3,M
1,1,1,2,6 - abreast - 00B - 25,07,03,29,17,13,08,16,30,01,06,05,20,22,37,14,33,21,36,32,23,02,40,35,34,09,19,12,10,04,11,28,18,27,31,38,15,26,24,39 - O,0,1,9,X,3,V,Y,5,F,G,B,J,/,H,6,D,R,I,U,#,N,4,C,A,8,S,L,.,E,M,T,Q,@,Z,7,W,P,K,2
